,Dato,Hjemmelag,Bortelag,Tilskuertall,Mål hjemmelag,Mål bortelag
386,16.07.2017,Odd,Viking,6 780,0,2
387,06.08.2017,Viking,Lillestrøm,8 052,2,2
388,13.08.2017,Aalesund,Viking,5 480,1,1
389,20.08.2017,Viking,Brann,9 838,2,4
390,10.09.2017,Sandefjord,Viking,3 159,3,1
391,17.09.2017,Viking,Molde,6 737,2,3
392,23.09.2017,Haugesund,Viking,5 919,2,1
393,01.10.2017,Viking,Strømsgodset,6 230,0,1
394,15.10.2017,Kristiansund BK,Viking,3 771,0,2
395,22.10.2017,Viking,Vålerenga,7 760,1,7
396,29.10.2017,Tromsø,Viking,3 464,3,0
397,05.11.2017,Viking,Sarpsborg 08,7 467,2,1
398,19.11.2017,Rosenborg,Viking,16 834,2,0
399,26.11.2017,Viking,Stabæk,6 157,2,0
